,Ch1,Ch2,Ch3,Ch4,randomforest,,,,nb-rf,,,,C50,,,,nb-c50,,,
16,0.035726081,0.183521458,0.013694107,0.767058354,0.124436429,0.259693417,0.081154193,0.53471596,-0.088710348,-0.076171959,-0.067460086,0.232342394,0.571428571,0.142857143,0.142857143,0.142857143,-0.53570249,0.040664315,-0.129163036,0.624201211
17,0.149099113,0.066288171,0.025961072,0.758651644,0.179090909,0.151818182,0.13,0.539090909,-0.029991796,-0.085530011,-0.104038928,0.219560734,0.166666667,0.166666667,0.166666667,0.5,-0.017567554,-0.100378496,-0.140705595,0.258651644
18,0.078468827,0.017801631,0.228005435,0.675724107,0.140142518,0.08709422,0.303246239,0.469517023,-0.061673691,-0.069292589,-0.075240804,0.206207084,0.142857143,0.142857143,0.571428571,0.142857143,-0.064388316,-0.125055512,-0.343423136,0.532866964
19,0.039440869,0.438252314,0.152943574,0.369363244,0.081403509,0.159298246,0.343157895,0.416140351,-0.04196264,0.278954068,-0.190214321,-0.046777107,0.125,0.125,0.625,0.125,-0.085559131,0.313252314,-0.472056426,0.244363244
20,0.053833282,0.343827869,0.276611617,0.325727232,0.166064982,0.336943442,0.25511432,0.241877256,-0.1122317,0.006884427,0.021497297,0.083849975,0.1,0.7,0.15,0.05,-0.046166718,-0.356172131,0.126611617,0.275727232
21,0.718578614,0.102591264,0.07119496,0.107635162,0.363745498,0.286914766,0.108043217,0.241296519,0.354833115,-0.184323502,-0.036848257,-0.133661356,0.142857143,0.428571429,0.285714286,0.142857143,0.575721471,-0.325980165,-0.214519326,-0.035221981
22,0.151533297,0.424198686,0.047038445,0.377229572,0.269674711,0.366211962,0.15320042,0.210912907,-0.118141414,0.057986723,-0.106161975,0.166316665,0.333333333,0.166666667,0.166666667,0.333333333,-0.181800036,0.257532019,-0.119628222,0.043896239
23,0.264325794,0.587293994,0.066135841,0.082244371,0.254580521,0.43683703,0.114754098,0.193828351,0.009745273,0.150456965,-0.048618258,-0.11158398,0.136363636,0.606060606,0.090909091,0.166666667,0.127962158,-0.018766612,-0.02477325,-0.084422296
24,0.162828229,0.348963676,0.098341352,0.389866743,0.222516556,0.246357616,0.264900662,0.266225166,-0.059688327,0.10260606,-0.16655931,0.123641577,0.222222222,0.333333333,0.333333333,0.111111111,-0.059393993,0.015630343,-0.234991981,0.278755632
25,0.079819827,0.421739109,0.422833399,0.075607665,0.187547456,0.340926348,0.318906606,0.15261959,-0.10772763,0.080812761,0.103926793,-0.077011925,0.071428571,0.714285714,0.142857143,0.071428571,0.008391256,-0.292546605,0.279976256,0.004179094
26,0.132842976,0.30819555,0.254126764,0.30483471,0.178062678,0.34045584,0.195156695,0.286324786,-0.045219702,-0.032260291,0.058970069,0.018509923,0.142857143,0.571428571,0.142857143,0.142857143,-0.010014167,-0.263233021,0.111269621,0.161977567
27,0.059759555,0.41644619,0.429783811,0.094010444,0.144346431,0.332798717,0.361668003,0.161186848,-0.084586876,0.083647473,0.068115808,-0.067176404,0.043478261,0.217391304,0.565217391,0.173913043,0.016281294,0.199054886,-0.13543358,-0.079902599
28,0.107690731,0.520521965,0.082789898,0.288997406,0.203991131,0.37804878,0.195121951,0.222838137,-0.0963004,0.142473184,-0.112332053,0.066159268,0.111111111,0.444444444,0.222222222,0.222222222,-0.00342038,0.076077521,-0.139432324,0.066775184
29,0.258813034,0.19752916,0.419187844,0.124469962,0.24376947,0.220404984,0.379283489,0.156542056,0.015043564,-0.022875825,0.039904355,-0.032072094,0.1875,0.0625,0.6875,0.0625,0.071313034,0.13502916,-0.268312156,0.061969962
30,0.236718088,0.107858872,0.238218605,0.417204435,0.282269504,0.170212766,0.262411348,0.285106383,-0.045551415,-0.062353894,-0.024192742,0.132098052,0.3,0.1,0.3,0.3,-0.063281912,0.007858872,-0.061781395,0.117204435
31,0.238833937,0.265266439,0.205887071,0.290012552,0.326350606,0.248070562,0.203969129,0.221609702,-0.087516669,0.017195877,0.001917942,0.06840285,0.083333333,0.666666667,0.166666667,0.083333333,0.155500604,-0.401400228,0.039220404,0.206679219
32,0.104249842,0.071538371,0.406615317,0.41759647,0.220430108,0.169354839,0.340053763,0.27016129,-0.116180266,-0.097816468,0.066561553,0.14743518,0.3,0.133333333,0.333333333,0.233333333,-0.195750158,-0.061794962,0.073281984,0.184263137
33,0.474903091,0.201823766,0.141645009,0.181628134,0.319283456,0.239199157,0.22971549,0.211801897,0.155619634,-0.037375391,-0.088070481,-0.030173763,0.487804878,0.195121951,0.170731707,0.146341463,-0.012901787,0.006701815,-0.029086698,0.035286671
34,0.598862557,0.108752226,0.113510209,0.178875008,0.447044335,0.183497537,0.121921182,0.247536946,0.151818222,-0.074745311,-0.008410974,-0.068661937,0.571428571,0.142857143,0.142857143,0.142857143,0.027433986,-0.034104917,-0.029346934,0.036017865
35,0.127029629,0.556246123,0.10798703,0.208737219,0.229471316,0.364454443,0.179977503,0.226096738,-0.102441687,0.191791679,-0.071990473,-0.017359519,0.166666667,0.333333333,0.166666667,0.333333333,-0.039637038,0.22291279,-0.058679637,-0.124596114
36,0.86372472,0.064888205,0.033697265,0.03768981,0.505747126,0.185823755,0.115900383,0.192528736,0.357977593,-0.12093555,-0.082203118,-0.154838926,0.571428571,0.142857143,0.142857143,0.142857143,0.292296149,-0.077968938,-0.109159878,-0.105167333
37,0.0828288,0.353299393,0.284136361,0.279735447,0.141952984,0.389692586,0.286618445,0.181735986,-0.059124184,-0.036393193,-0.002482084,0.097999461,0.083333333,0.666666667,0.166666667,0.083333333,-0.000504533,-0.313367274,0.117469694,0.196402114
38,0.283085865,0.170573173,0.219206183,0.327134779,0.314049587,0.228650138,0.180440771,0.276859504,-0.030963722,-0.058076965,0.038765412,0.050275275,0.25,0.25,0.125,0.375,0.033085865,-0.079426827,0.094206183,-0.047865221
39,0.107177027,0.125958222,0.122595909,0.644268842,0.11568323,0.152173913,0.331521739,0.400621118,-0.008506203,-0.026215691,-0.20892583,0.243647724,0.166666667,0.166666667,0.5,0.166666667,-0.05948964,-0.040708445,-0.377404091,0.477602175
40,0.061256406,0.067543776,0.608828662,0.262371157,0.150761828,0.113071371,0.322373697,0.413793103,-0.089505423,-0.045527596,0.286454965,-0.151421946,0.090909091,0.181818182,0.090909091,0.636363636,-0.029652685,-0.114274406,0.517919571,-0.373992479
41,0.649105121,0.137092002,0.054084447,0.15971843,0.335543767,0.198938992,0.123342175,0.342175066,0.313561354,-0.06184699,-0.069257728,-0.182456636,0.118644068,0.576271186,0.118644068,0.186440678,0.530461053,-0.439179184,-0.064559621,-0.026722248
42,0.234722782,0.220310315,0.043660272,0.50130663,0.33490566,0.18081761,0.078616352,0.405660377,-0.100182878,0.039492705,-0.03495608,0.095646253,0.595744681,0.14893617,0.106382979,0.14893617,-0.361021899,0.071374145,-0.062722707,0.35237046
43,0.027959359,0.089478031,0.590942154,0.291620455,0.102830189,0.100943396,0.309433962,0.486792453,-0.07487083,-0.011465365,0.281508192,-0.195171998,0.142857143,0.142857143,0.142857143,0.571428571,-0.114897784,-0.053379112,0.448085011,-0.279808116
44,0.149241718,0.11046365,0.412105512,0.32818912,0.17571885,0.108626198,0.303514377,0.412140575,-0.026477132,0.001837451,0.108591135,-0.083951455,0.142857143,0.142857143,0.571428571,0.142857143,0.006384575,-0.032393493,-0.159323059,0.185331977
45,0.449183197,0.088759549,0.109069751,0.352987503,0.272407733,0.157293497,0.116871705,0.453427065,0.176775465,-0.068533948,-0.007801954,-0.100439562,0.722222222,0.055555556,0.055555556,0.166666667,-0.273039025,0.033203993,0.053514195,0.186320836
46,0.195820652,0.335888316,0.13302805,0.335262982,0.162046908,0.257285004,0.213930348,0.36673774,0.033773744,0.078603312,-0.080902298,-0.031474758,0.071428571,0.714285714,0.071428571,0.142857143,0.124392081,-0.378397398,0.061599479,0.192405839
47,0.12591782,0.107841078,0.223076626,0.543164477,0.114517583,0.248872858,0.171325518,0.46528404,0.011400236,-0.14103178,0.051751107,0.077880437,0.111111111,0.111111111,0.555555556,0.222222222,0.014806709,-0.003270033,-0.33247893,0.320942255
48,0.117478195,0.29357604,0.061125033,0.527820731,0.152466368,0.30941704,0.075336323,0.462780269,-0.034988172,-0.015841,-0.01421129,0.065040462,0.166666667,0.166666667,0.166666667,0.5,-0.049188472,0.126909373,-0.105541634,0.027820731
49,0.152843329,0.500229047,0.14498893,0.201938694,0.115646259,0.342176871,0.191156463,0.351020408,0.037197071,0.158052176,-0.046167533,-0.149081714,0.25,0.583333333,0.083333333,0.083333333,-0.097156671,-0.083104286,0.061655597,0.118605361
50,0.053070323,0.070289752,0.132678184,0.743961742,0.150414938,0.101659751,0.212655602,0.53526971,-0.097344615,-0.031369999,-0.079977418,0.208692032,0.4,0.2,0.2,0.2,-0.346929677,-0.129710248,-0.067321816,0.543961742
51,0.314465419,0.097948562,0.093379155,0.494206865,0.255407654,0.131447587,0.183860233,0.429284526,0.059057765,-0.033499026,-0.090481078,0.064922339,0.5,0.166666667,0.166666667,0.166666667,-0.185534581,-0.068718105,-0.073287512,0.327540198
52,0.132192954,0.031749453,0.264543756,0.571513837,0.204016913,0.102536998,0.147991543,0.545454545,-0.07182396,-0.070787545,0.116552213,0.026059291,0.05,0.05,0.15,0.75,0.082192954,-0.018250547,0.114543756,-0.178486163
53,0.207989202,0.128432387,0.036242391,0.62733602,0.262886598,0.219931271,0.073883162,0.443298969,-0.054897396,-0.091498885,-0.03764077,0.184037051,0.166666667,0.166666667,0.166666667,0.5,0.041322535,-0.03823428,-0.130424276,0.12733602
54,0.350462565,0.077742905,0.043703071,0.52809146,0.230853392,0.118161926,0.08643326,0.564551422,0.119609174,-0.040419021,-0.04273019,-0.036459963,0.555555556,0.111111111,0.222222222,0.111111111,-0.205092991,-0.033368206,-0.178519151,0.416980349
55,0.1996631,0.43276376,0.138821839,0.228751302,0.194503171,0.324171952,0.117688513,0.363636364,0.005159929,0.108591807,0.021133326,-0.134885062,0.12,0.62,0.12,0.14,0.0796631,-0.18723624,0.018821839,0.088751302
56,0.143333436,0.052775468,0.135728818,0.668162278,0.144242424,0.111515152,0.118787879,0.625454545,-0.000908988,-0.058739683,0.016940939,0.042707733,0.16,0.04,0.08,0.72,-0.016666564,0.012775468,0.055728818,-0.051837722
57,0.420993396,0.080950621,0.029823565,0.468232417,0.318460192,0.15048119,0.079615048,0.45144357,0.102533204,-0.069530568,-0.049791483,0.016788848,0.5,0.166666667,0.166666667,0.166666667,-0.079006604,-0.085716046,-0.136843102,0.30156575
58,0.194571765,0.321981694,0.37359083,0.109855712,0.219441771,0.321462945,0.300288739,0.158806545,-0.024870006,0.000518748,0.07330209,-0.048950833,0.111111111,0.111111111,0.111111111,0.666666667,0.083460654,0.210870583,0.262479719,-0.556810955
59,0.276533328,0.215225953,0.108340653,0.399900065,0.282773564,0.257854821,0.280606717,0.178764897,-0.006240236,-0.042628868,-0.172266064,0.221135168,0.111111111,0.111111111,0.222222222,0.555555556,0.165422217,0.104114842,-0.113881569,-0.155655491
60,0.690621816,0.040017402,0.227587901,0.041772881,0.360927152,0.124172185,0.378311258,0.136589404,0.329694664,-0.084154783,-0.150723357,-0.094816523,0.066666667,0.066666667,0.2,0.666666667,0.623955149,-0.026649265,0.027587901,-0.624893786
61,0.061040421,0.421241535,0.110841552,0.406876492,0.197350993,0.349668874,0.234437086,0.218543046,-0.136310572,0.071572661,-0.123595534,0.188333446,0.2,0.2,0.2,0.4,-0.138959579,0.221241535,-0.089158448,0.006876492
62,0.311678344,0.419128815,0.092420204,0.176772637,0.215328467,0.416058394,0.167883212,0.200729927,0.096349877,0.003070421,-0.075463008,-0.02395729,0.285714286,0.142857143,0.285714286,0.285714286,0.025964058,0.276271672,-0.193294082,-0.108941649
63,0.267038728,0.183152548,0.273162003,0.276646721,0.272108844,0.180952381,0.32244898,0.224489796,-0.005070116,0.002200167,-0.049286977,0.052156925,0.3,0.133333333,0.333333333,0.233333333,-0.032961272,0.049819215,-0.06017133,0.043313388
64,0.105528893,0.103700795,0.713432185,0.077338128,0.158425832,0.170534813,0.504540868,0.166498486,-0.052896939,-0.066834019,0.208891317,-0.089160359,0.047619048,0.047619048,0.761904762,0.142857143,0.057909845,0.056081747,-0.048472577,-0.065519015
65,0.267207643,0.238379583,0.406393687,0.088019087,0.335146159,0.223657376,0.329027872,0.112168593,-0.067938516,0.014722207,0.077365815,-0.024149506,0.142857143,0.142857143,0.142857143,0.571428571,0.1243505,0.09552244,0.263536544,-0.483409484
66,0.324922895,0.318018819,0.289464007,0.067594279,0.293777135,0.295947902,0.290882779,0.119392185,0.031145761,0.022070917,-0.001418771,-0.051797907,0.428571429,0.285714286,0.142857143,0.142857143,-0.103648534,0.032304533,0.146606864,-0.075262864
67,0.262912431,0.401308752,0.243495732,0.092283085,0.24047619,0.299206349,0.329365079,0.130952381,0.02243624,0.102102403,-0.085869347,-0.038669296,0.076923077,0.153846154,0.461538462,0.307692308,0.185989354,0.247462598,-0.21804273,-0.215409223
68,0.287438628,0.107147084,0.585946572,0.019467715,0.3125,0.263888889,0.309027778,0.114583333,-0.025061372,-0.156741805,0.276918794,-0.095115618,0.090909091,0.090909091,0.181818182,0.636363636,0.196529537,0.016237993,0.40412839,-0.616895921
69,0.129679791,0.17827647,0.155003175,0.537040564,0.211091234,0.227191413,0.266547406,0.295169946,-0.081411443,-0.048914943,-0.111544231,0.241870618,0.166666667,0.166666667,0.166666667,0.5,-0.036986876,0.011609803,-0.011663492,0.037040564
70,0.288880147,0.591302167,0.018292412,0.101525274,0.270718232,0.455801105,0.121546961,0.151933702,0.018161915,0.135501062,-0.103254549,-0.050408428,0.205479452,0.630136986,0.082191781,0.082191781,0.083400695,-0.038834819,-0.063899369,0.019333493
71,0.071825005,0.138962971,0.675248115,0.113963909,0.150214592,0.284978541,0.423175966,0.141630901,-0.078389587,-0.14601557,0.252072149,-0.027666992,0.333333333,0.166666667,0.333333333,0.166666667,-0.261508328,-0.027703696,0.341914782,-0.052702758
72,0.042155332,0.245154926,0.440379661,0.272310081,0.159405941,0.197029703,0.48019802,0.163366337,-0.117250609,0.048125223,-0.039818359,0.108943745,0.142857143,0.071428571,0.714285714,0.071428571,-0.100701811,0.173726355,-0.273906053,0.20088151
73,0.605757401,0.071987365,0.1392447,0.183010534,0.289678135,0.135405105,0.391786903,0.183129856,0.316079265,-0.06341774,-0.252542204,-0.000119321,0.5,0.166666667,0.166666667,0.166666667,0.105757401,-0.094679302,-0.027421967,0.016343867
74,0.027306025,0.628426714,0.253120011,0.09114725,0.123167155,0.41544477,0.300097752,0.161290323,-0.095861131,0.212981944,-0.04697774,-0.070143073,0.12,0.62,0.12,0.14,-0.092693975,0.008426714,0.133120011,-0.04885275
75,0.177312669,0.330004311,0.073784132,0.418898888,0.248427673,0.29245283,0.199685535,0.259433962,-0.071115004,0.037551481,-0.125901403,0.159464926,0.2,0.2,0.2,0.4,-0.022687331,0.130004311,-0.126215868,0.018898888
76,0.098046362,0.424802963,0.274500606,0.20265007,0.155328798,0.400226757,0.257369615,0.18707483,-0.057282437,0.024576206,0.017130991,0.01557524,0.285714286,0.428571429,0.142857143,0.142857143,-0.187667924,-0.003768466,0.131643463,0.059792927
77,0.212579683,0.300333573,0.23391337,0.253173375,0.192584964,0.265705458,0.295571576,0.246138002,0.019994719,0.034628114,-0.061658206,0.007035373,0.1,0.2,0.3,0.4,0.112579683,0.100333573,-0.06608663,-0.146826625
78,0.076631654,0.376879201,0.244473382,0.302015762,0.160832545,0.37653737,0.236518448,0.226111637,-0.084200891,0.000341832,0.007954934,0.075904126,0.222222222,0.111111111,0.111111111,0.555555556,-0.145590568,0.26576809,0.133362271,-0.253539794
79,0.039054795,0.759074237,0.166651532,0.035219437,0.095582329,0.380722892,0.331726908,0.191967871,-0.056527534,0.378351345,-0.165075376,-0.156748435,0.166666667,0.166666667,0.166666667,0.5,-0.127611872,0.59240757,-1.51353E-05,-0.464780563
80,0.127289727,0.090598415,0.337820382,0.444291477,0.168502203,0.171806167,0.396475771,0.263215859,-0.041212476,-0.081207752,-0.058655389,0.181075618,0.037037037,0.148148148,0.555555556,0.259259259,0.09025269,-0.057549733,-0.217735174,0.185032218
81,0.252516634,0.024372517,0.662832086,0.060278763,0.184761905,0.134285714,0.453333333,0.227619048,0.067754729,-0.109913197,0.209498752,-0.167340284,0.166666667,0.5,0.166666667,0.166666667,0.085849967,-0.475627483,0.496165419,-0.106387904
82,0.662758886,0.132437068,0.052860826,0.15194322,0.440891473,0.152131783,0.175387597,0.231589147,0.221867413,-0.019694715,-0.122526771,-0.079645927,0.166666667,0.333333333,0.166666667,0.333333333,0.496092219,-0.200896265,-0.113805841,-0.181390113
83,0.151229924,0.1613887,0.08735035,0.600031026,0.208459215,0.220543807,0.209969789,0.36102719,-0.057229291,-0.059155107,-0.122619438,0.239003836,0.285714286,0.142857143,0.142857143,0.428571429,-0.134484362,0.018531557,-0.055506793,0.171459597
84,0.186158464,0.340617993,0.341469307,0.131754235,0.173652695,0.339606501,0.282292558,0.204448246,0.01250577,0.001011492,0.059176749,-0.072694011,0.142857143,0.285714286,0.142857143,0.428571429,0.043301321,0.054903707,0.198612164,-0.296817194
85,0.476896633,0.079387163,0.045254522,0.398461681,0.449521785,0.163655685,0.132837407,0.253985122,0.027374848,-0.084268522,-0.087582885,0.144476559,0.333333333,0.111111111,0.111111111,0.444444444,0.1435633,-0.031723948,-0.065856589,-0.045982763
86,0.267261811,0.129026297,0.323309394,0.280402498,0.227709191,0.205761317,0.238683128,0.327846365,0.039552621,-0.07673502,0.084626267,-0.047443867,0.285714286,0.428571429,0.142857143,0.142857143,-0.018452475,-0.299545132,0.180452251,0.137545355
87,0.143253187,0.041765999,0.673181523,0.141799291,0.165245203,0.118336887,0.461620469,0.254797441,-0.021992015,-0.076570888,0.211561054,-0.112998151,0.047619048,0.047619048,0.761904762,0.142857143,0.095634139,-0.005853049,-0.088723239,-0.001057852
88,0.500776647,0.114807373,0.230821765,0.153594215,0.39046538,0.172531215,0.165720772,0.271282633,0.110311267,-0.057723842,0.065100993,-0.117688418,0.25,0.125,0.125,0.5,0.250776647,-0.010192627,0.105821765,-0.346405785
89,0.571906787,0.160651279,0.064475293,0.20296664,0.387012987,0.249350649,0.156709957,0.206926407,0.1848938,-0.08869937,-0.092234663,-0.003959767,0.595744681,0.14893617,0.106382979,0.14893617,-0.023837894,0.011715109,-0.041907686,0.05403047
90,0.682741293,0.054073802,0.194286714,0.068898191,0.341331269,0.167956656,0.305727554,0.18498452,0.341410023,-0.113882854,-0.11144084,-0.116086329,0.708333333,0.083333333,0.041666667,0.166666667,-0.02559204,-0.029259531,0.152620047,-0.097768476
91,0.104059393,0.284865033,0.075426623,0.535648951,0.221932115,0.253263708,0.212793734,0.312010444,-0.117872722,0.031601325,-0.137367111,0.223638508,0.142857143,0.285714286,0.285714286,0.285714286,-0.03879775,-0.000849253,-0.210287663,0.249934665
92,0.277762383,0.111799531,0.2806903,0.329747786,0.172191529,0.186924494,0.420810313,0.220073665,0.105570854,-0.075124963,-0.140120013,0.109674121,0.076923077,0.153846154,0.692307692,0.076923077,0.200839306,-0.042046623,-0.411617392,0.252824709
93,0.130006167,0.689445041,0.128138621,0.052410172,0.280169372,0.346506704,0.204657728,0.168666196,-0.150163205,0.342938336,-0.076519107,-0.116256025,0.133333333,0.64,0.106666667,0.12,-0.003327166,0.049445041,0.021471954,-0.067589828
94,0.075425579,0.310195365,0.374737252,0.239641805,0.137418756,0.326833798,0.313834726,0.221912721,-0.061993177,-0.016638433,0.060902525,0.017729084,0.090909091,0.090909091,0.636363636,0.181818182,-0.015483512,0.219286274,-0.261626384,0.057823623
95,0.276486081,0.273946723,0.34878374,0.100783457,0.29206118,0.203932993,0.32993445,0.174071377,-0.015575099,0.070013729,0.01884929,-0.07328792,0.166666667,0.166666667,0.333333333,0.333333333,0.109819414,0.107280056,0.015450407,-0.232549876
96,0.133857725,0.378937303,0.405878416,0.081326557,0.152817574,0.289398281,0.372492837,0.185291309,-0.018959849,0.089539022,0.033385579,-0.103964752,0.111111111,0.111111111,0.555555556,0.222222222,0.022746614,0.267826192,-0.14967714,-0.140895665
97,0.388649948,0.481065385,0.082265073,0.048019594,0.31243973,0.337512054,0.162970106,0.18707811,0.076210218,0.143553331,-0.080705033,-0.139058516,0.1,0.566666667,0.233333333,0.1,0.288649948,-0.085601282,-0.15106826,-0.051980406
98,0.375128052,0.540099164,0.069163204,0.015609579,0.257607926,0.355980184,0.249115357,0.137296532,0.117520126,0.18411898,-0.179952153,-0.121686953,0.166666667,0.166666667,0.5,0.166666667,0.208461385,0.373432497,-0.430836796,-0.151057088
99,0.32349582,0.439552206,0.075450083,0.161501891,0.227027027,0.365405405,0.197837838,0.20972973,0.096468793,0.074146801,-0.122387754,-0.048227839,0.16,0.2,0.16,0.48,0.16349582,0.239552206,-0.084549917,-0.318498109
100,0.262467565,0.615375889,0.103289471,0.018867075,0.352211016,0.334367727,0.16291699,0.150504267,-0.089743452,0.281008162,-0.059627519,-0.131637191,0.5,0.166666667,0.166666667,0.166666667,-0.237532435,0.448709222,-0.063377196,-0.147799592
101,0.514424192,0.148967386,0.219034316,0.117574106,0.316184352,0.174705252,0.301178992,0.207931404,0.198239841,-0.025737866,-0.082144677,-0.090357298,0.636363636,0.090909091,0.181818182,0.090909091,-0.121939444,0.058058295,0.037216134,0.026665015
102,0.432780403,0.325128394,0.188117707,0.053973496,0.204,0.244,0.358,0.194,0.228780403,0.081128394,-0.169882293,-0.140026504,0.052631579,0.052631579,0.631578947,0.263157895,0.380148824,0.272496815,-0.44346124,-0.209184399
103,0.092521752,0.697416212,0.092111465,0.11795057,0.160161507,0.378196501,0.200538358,0.261103634,-0.067639755,0.319219711,-0.108426893,-0.143153064,0.083333333,0.333333333,0.166666667,0.416666667,0.009188419,0.364082879,-0.074555202,-0.298716097
104,0.208349082,0.4697503,0.141191049,0.180709569,0.20295203,0.295202952,0.263222632,0.238622386,0.005397053,0.174547348,-0.122031583,-0.057912818,0.111111111,0.111111111,0.555555556,0.222222222,0.097237971,0.358639189,-0.414364507,-0.041512653
105,0.258734814,0.678578457,0.048605009,0.01408172,0.167898627,0.430834213,0.196409715,0.204857445,0.090836187,0.247744244,-0.147804706,-0.190775724,0.375,0.25,0.125,0.25,-0.116265186,0.428578457,-0.076394991,-0.23591828
106,0.208011269,0.618784455,0.08916788,0.084036395,0.285839161,0.328671329,0.215909091,0.16958042,-0.077827891,0.290113126,-0.126741211,-0.085544024,0.090909091,0.727272727,0.090909091,0.090909091,0.117102178,-0.108488272,-0.001741211,-0.006872696
107,0.285300195,0.58830446,0.099857549,0.026537796,0.208583691,0.411158798,0.213733906,0.166523605,0.076716504,0.177145662,-0.113876356,-0.139985809,0.28125,0.53125,0.15625,0.03125,0.004050195,0.05705446,-0.056392451,-0.004712204
108,0.03205748,0.790795875,0.134325282,0.042821363,0.158921933,0.43401487,0.226765799,0.180297398,-0.126864453,0.356781005,-0.092440517,-0.137476035,0.384615385,0.153846154,0.076923077,0.384615385,-0.352557905,0.636949721,0.057402205,-0.341794022
109,0.485232025,0.294382615,0.127742005,0.092643355,0.317647059,0.223529412,0.251336898,0.207486631,0.167584966,0.070853204,-0.123594894,-0.114843276,0.4,0.2,0.2,0.2,0.085232025,0.094382615,-0.072257995,-0.107356645
110,0.748790686,0.110620154,0.043630007,0.096959154,0.413280476,0.185332012,0.209117939,0.192269574,0.33551021,-0.074711858,-0.165487932,-0.09531042,0.181818182,0.090909091,0.545454545,0.181818182,0.566972504,0.019711063,-0.501824538,-0.084859028
111,0.261507796,0.338403919,0.345399941,0.054688343,0.19370229,0.263358779,0.357824427,0.185114504,0.067805506,0.075045141,-0.012424486,-0.13042616,0.122807018,0.122807018,0.649122807,0.105263158,0.138700778,0.215596901,-0.303722866,-0.050574815
